EmpID;Age;Attrition;BusinessTravel;Department;DistanceFromHome;Education;EducationField;EnvironmentSatisfaction;Gender;JobInvolvement;JobLevel;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;NumCompaniesWorked;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StockOptionLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager
RM1340;22;Yes;Travel_Rarely;Research & Development;7;1;Life Sciences;4;Male;3;1;Research Scientist;2;Single;2472;1;Yes;0,23;4;1;0;1;2;3;1;0;0;0
RM1424;22;No;Travel_Rarely;Research & Development;1;2;Life Sciences;4;Male;3;1;Research Scientist;3;Single;3375;0;No;0,12;3;4;0;4;2;4;3;2;1;2
RM087;23;No;Travel_Rarely;Sales;2;1;Technical Degree;3;Male;3;1;Sales Representative;1;Divorced;2322;3;No;0,13;3;3;1;3;3;3;0;0;0;0
RM346;23;No;Travel_Rarely;Research & Development;26;1;Life Sciences;3;Male;3;1;Research Scientist;4;Divorced;2904;1;No;0,12;3;3;2;4;2;2;4;2;0;2
RM517;23;No;Travel_Rarely;Research & Development;4;3;Medical;1;Male;4;1;Research Scientist;1;Married;2819;2;No;0,16;3;1;1;5;3;4;3;2;0;2
RM551;23;No;Travel_Rarely;Research & Development;9;1;Medical;2;Male;3;1;Laboratory Technician;1;Married;2500;1;No;0,14;3;4;1;5;2;4;4;3;0;2
RM566;23;No;Travel_Rarely;Research & Development;10;1;Medical;1;Male;4;1;Research Scientist;3;Single;3505;1;No;0,18;3;4;0;2;3;3;2;2;0;2
RM586;23;Yes;Travel_Rarely;Research & Development;6;3;Life Sciences;3;Male;4;1;Laboratory Technician;1;Married;1601;1;Yes;0,21;4;3;2;1;2;3;0;0;0;0
RM911;23;No;Travel_Rarely;Research & Development;1;2;Life Sciences;4;Male;3;1;Research Scientist;3;Married;1223;1;No;0,22;4;4;1;1;2;3;1;0;0;1
RM1083;23;No;Travel_Rarely;Research & Development;20;1;Life Sciences;1;Male;3;2;Laboratory Technician;3;Single;2272;0;No;0,14;3;2;0;5;2;3;4;3;1;2
RM1128;23;No;Travel_Rarely;Research & Development;10;3;Technical Degree;4;Male;4;1;Research Scientist;3;Married;2073;2;No;0,16;3;4;1;4;2;3;2;2;2;2
RM1202;23;Yes;Travel_Rarely;Research & Development;8;1;Medical;4;Male;2;1;Laboratory Technician;3;Single;3989;1;Yes;0,11;3;1;0;5;2;3;5;4;1;2
RM1214;23;Yes;Travel_Rarely;Sales;7;3;Life Sciences;3;Male;3;1;Sales Representative;4;Divorced;2275;1;Yes;0,21;4;2;1;3;2;3;3;2;0;2
RM1239;23;No;Travel_Rarely;Research & Development;4;1;Medical;3;Female;3;1;Laboratory Technician;2;Single;3295;1;No;0,13;3;3;0;3;3;1;3;2;1;2
RM1409;23;No;Travel_Rarely;Research & Development;12;2;Other;4;Male;3;1;Laboratory Technician;4;Single;2647;1;No;0,13;3;3;0;5;6;4;5;2;1;4
RM1439;23;Yes;Travel_Frequently;Sales;9;3;Marketing;4;Male;3;1;Sales Representative;1;Married;1790;1;No;0,19;3;1;1;1;3;2;1;0;1;0
RM021;24;No;Non-Travel;Research & Development;11;2;Other;1;Female;4;2;Manufacturing Director;3;Divorced;4011;0;No;0,18;3;4;1;5;5;2;4;2;1;3
RM035;24;Yes;Travel_Rarely;Research & Development;1;3;Medical;2;Male;3;1;Research Scientist;4;Married;2293;2;Yes;0,16;3;1;1;6;2;2;2;0;2;0
RM097;24;No;Travel_Rarely;Sales;3;2;Other;1;Female;3;2;Sales Executive;3;Married;4999;0;No;0,21;4;1;1;4;2;2;3;2;0;2
RM114;24;No;Travel_Rarely;Research & Development;18;1;Life Sciences;2;Male;3;1;Laboratory Technician;3;Married;2774;0;No;0,12;3;3;1;6;2;3;5;3;1;2
RM381;24;No;Travel_Rarely;Sales;10;4;Marketing;4;Female;3;2;Sales Executive;3;Divorced;4260;1;Yes;0,12;3;4;1;5;2;4;5;2;0;3
RM415;24;Yes;Travel_Rarely;Sales;1;1;Technical Degree;1;Female;3;1;Sales Representative;2;Single;3202;1;Yes;0,16;3;2;0;6;4;3;5;3;1;4
RM471;24;No;Travel_Frequently;Sales;24;3;Medical;4;Male;3;1;Sales Representative;4;Married;2400;0;No;0,13;3;3;2;3;3;3;2;2;2;1
RM475;24;No;Travel_Rarely;Research & Development;23;3;Medical;2;Male;4;1;Research Scientist;4;Married;2725;1;Yes;0,11;3;2;2;6;3;3;6;5;1;4
RM477;24;No;Travel_Rarely;Research & Development;17;2;Other;4;Male;2;1;Laboratory Technician;2;Married;2127;1;No;0,21;4;4;1;1;2;3;1;0;0;0
RM480;24;Yes;Travel_Frequently;Research & Development;7;3;Life Sciences;1;Female;3;1;Laboratory Technician;3;Married;2886;1;Yes;0,16;3;4;1;6;4;3;6;3;1;2
RM526;24;Yes;Travel_Rarely;Sales;3;2;Life Sciences;1;Female;3;2;Sales Executive;3;Single;4577;9;No;0,14;3;1;0;4;3;3;2;2;2;0
RM587;24;No;Non-Travel;Research & Development;9;3;Life Sciences;3;Male;2;1;Laboratory Technician;2;Divorced;2694;1;No;0,11;3;3;3;1;4;3;1;0;0;0
RM641;24;No;Non-Travel;Research & Development;4;1;Life Sciences;1;Male;2;1;Laboratory Technician;4;Married;3162;0;No;0,17;3;4;0;6;2;2;5;2;3;4
RM725;24;No;Travel_Rarely;Research & Development;17;1;Medical;4;Female;2;2;Manufacturing Director;3;Divorced;4377;1;No;0,15;3;2;2;5;6;3;4;2;3;2
RM842;24;No;Travel_Rarely;Research & Development;24;3;Medical;4;Male;3;1;Laboratory Technician;2;Single;3597;8;No;0,22;4;4;0;6;2;3;4;3;1;2
RM872;24;Yes;Travel_Rarely;Research & Development;17;2;Life Sciences;4;Female;3;1;Laboratory Technician;2;Married;2210;1;No;0,13;3;1;1;1;3;1;1;0;0;0
RM1026;24;No;Travel_Rarely;Sales;4;1;Medical;4;Female;3;2;Sales Executive;3;Married;4162;1;Yes;0,12;3;3;2;5;3;3;5;4;0;3
RM1061;24;Yes;Travel_Frequently;Research & Development;9;3;Medical;2;Male;3;1;Laboratory Technician;1;Single;3172;2;Yes;0,11;3;3;0;4;2;2;0;0;0;0
RM1062;24;No;Non-Travel;Sales;13;2;Life Sciences;4;Female;3;1;Sales Representative;2;Married;2033;1;No;0,13;3;3;1;1;2;3;1;0;0;0
RM1098;24;No;Travel_Rarely;Research & Development;21;2;Technical Degree;3;Male;2;1;Laboratory Technician;1;Divorced;2296;0;No;0,14;3;2;3;2;3;3;1;1;0;0
RM1169;24;No;Travel_Frequently;Research & Development;2;1;Technical Degree;1;Female;3;1;Research Scientist;4;Single;3760;1;Yes;0,13;3;3;0;6;2;3;6;3;1;3
RM1218;24;No;Travel_Rarely;Research & Development;9;3;Medical;3;Male;4;1;Research Scientist;3;Married;4401;1;No;0,16;3;4;1;5;1;3;5;3;0;4
RM1223;24;Yes;Travel_Rarely;Human Resources;22;1;Human Resources;4;Male;1;1;Human Resources;3;Married;1555;1;No;0,11;3;3;1;1;2;3;1;0;0;0
RM1231;24;No;Travel_Rarely;Research & Development;29;1;Medical;2;Male;3;1;Laboratory Technician;1;Divorced;3907;1;No;0,13;3;2;3;6;2;4;6;2;1;2
RM1246;24;No;Travel_Frequently;Human Resources;10;3;Medical;1;Male;3;1;Human Resources;4;Married;2145;0;No;0,14;3;4;1;3;2;3;2;2;2;1
RM1408;24;No;Travel_Rarely;Research & Development;1;2;Life Sciences;2;Male;2;2;Healthcare Representative;3;Single;4617;1;No;0,12;3;2;0;4;2;2;4;3;1;2
RM108;25;Yes;Travel_Rarely;Sales;5;3;Marketing;3;Male;2;2;Sales Executive;3;Single;5744;1;Yes;0,11;3;4;0;6;1;3;6;4;0;3
RM109;25;No;Travel_Rarely;Research & Development;7;1;Medical;4;Male;2;1;Research Scientist;4;Married;2889;1;No;0,11;3;3;2;2;2;3;2;2;2;1
RM139;25;No;Travel_Rarely;Sales;28;3;Life Sciences;1;Male;2;2;Sales Executive;3;Married;8639;2;No;0,18;3;4;0;6;3;3;2;2;2;
RM256;25;No;Travel_Rarely;Research & Development;1;3;Life Sciences;1;Female;3;2;Manufacturing Director;3;Married;4898;0;No;0,12;3;4;2;5;3;3;4;2;1;
RM268;25;No;Non-Travel;Research & Development;5;2;Life Sciences;2;Male;4;2;Healthcare Representative;1;Divorced;4000;1;No;0,12;3;4;2;6;2;3;6;3;1;5
RM398;25;No;Travel_Rarely;Sales;4;2;Life Sciences;2;Female;2;2;Sales Executive;4;Single;4487;1;Yes;0,11;3;2;0;5;3;3;5;4;1;3
RM406;25;Yes;Travel_Rarely;Research & Development;3;3;Medical;1;Male;3;1;Laboratory Technician;1;Married;4031;5;No;0,13;3;3;1;6;5;3;2;2;0;
RM479;25;No;Travel_Rarely;Sales;13;1;Medical;2;Male;3;1;Sales Representative;3;Married;2096;1;No;0,11;3;3;0;7;1;3;7;4;0;6
RM518;25;No;Travel_Rarely;Sales;8;3;Life Sciences;4;Male;4;2;Sales Executive;2;Married;4851;0;No;0,22;4;3;1;4;4;3;3;2;1;2
RM564;25;No;Travel_Rarely;Sales;26;1;Medical;3;Female;3;2;Sales Executive;4;Single;6180;1;No;0,23;4;2;0;6;5;2;6;5;1;4
RM619;25;No;Travel_Rarely;Research & Development;2;1;Medical;1;Male;4;1;Research Scientist;1;Single;3424;7;No;0,13;3;3;0;6;3;2;4;3;0;1
RM635;25;No;Travel_Rarely;Sales;3;1;Other;3;Male;3;2;Sales Executive;1;Married;4194;1;Yes;0,18;3;4;0;5;3;3;5;3;0;3
RM639;25;No;Travel_Rarely;Sales;4;1;Marketing;3;Male;2;2;Sales Executive;1;Married;4256;1;No;0,12;3;1;0;5;1;4;5;2;0;3
RM684;25;Yes;Travel_Rarely;Sales;19;2;Marketing;3;Male;2;1;Sales Representative;2;Married;2413;1;Yes;0,18;3;3;3;1;2;3;1;0;0;0
RM797;25;Yes;Travel_Rarely;Research & Development;4;1;Technical Degree;4;Male;3;1;Laboratory Technician;4;Married;3691;1;Yes;0,15;3;2;1;7;3;4;7;7;5;6
RM886;25;No;Travel_Rarely;Sales;10;4;Life Sciences;3;Male;3;2;Sales Executive;4;Single;4950;0;No;0,14;3;2;0;5;4;3;4;3;1;1
RM912;25;Yes;Travel_Frequently;Sales;24;1;Life Sciences;3;Male;1;1;Sales Representative;4;Single;1118;1;Yes;0,14;3;4;0;1;4;3;1;0;1;0
RM935;25;No;Travel_Rarely;Research & Development;1;3;Medical;4;Female;3;1;Research Scientist;2;Single;2096;1;No;0,18;3;4;0;2;3;2;2;2;2;1
RM966;25;No;Travel_Rarely;Research & Development;19;1;Medical;4;Male;3;1;Laboratory Technician;4;Married;3669;3;No;0,11;3;3;3;7;6;2;3;2;1;2
RM994;25;No;Travel_Rarely;Sales;18;1;Life Sciences;1;Male;4;2;Sales Executive;3;Married;6232;2;No;0,11;3;2;0;6;3;2;3;2;1;2
RM1004;25;No;Travel_Rarely;Research & Development;1;3;Technical Degree;1;Male;3;1;Laboratory Technician;4;Married;3229;4;No;0;3;2;1;7;2;2;3;2;0;2
RM1022;25;Yes;Travel_Rarely;Sales;9;2;Life Sciences;1;Male;2;1;Sales Representative;1;Married;4400;3;No;0;3;1;0;6;2;3;3;2;2;2
RM1175;25;No;Travel_Frequently;Research & Development;2;1;Life Sciences;4;Male;4;2;Manufacturing Director;3;Divorced;5206;1;No;0;3;3;2;7;6;3;7;7;0;7
RM1412;25;No;Travel_Rarely;Human Resources;2;3;Human Resources;3;Female;3;1;Human Resources;2;Married;2187;4;No;0;3;3;0;6;3;3;2;0;1;2
RM1414;25;No;Travel_Rarely;Research & Development;2;1;Other;4;Male;3;1;Laboratory Technician;3;Divorced;3977;6;Yes;0;3;3;1;7;2;2;2;2;0;2
RM1434;25;No;Travel_Rarely;Sales;8;2;Other;1;Female;3;2;Sales Executive;3;Divorced;4907;0;Yes;0;4;2;1;6;3;2;5;3;0;4
RM043;26;Yes;Travel_Rarely;Research & Development;25;3;Life Sciences;1;Male;1;1;Laboratory Technician;3;Single;2293;1;No;0;3;3;0;1;2;2;1;0;0;1
RM055;26;No;Travel_Rarely;Sales;23;3;Marketing;3;Female;2;2;Sales Executive;4;Married;4157;7;Yes;0;3;3;1;5;2;2;2;2;0;0
RM126;26;No;Travel_Rarely;Research & Development;6;3;Other;3;Female;2;1;Research Scientist;2;Married;2368;1;No;0;3;3;0;5;3;2;5;4;4;3
RM135;26;No;Travel_Rarely;Human Resources;25;1;Life Sciences;3;Female;3;1;Human Resources;3;Married;2942;1;No;0;4;4;1;8;3;3;8;7;5;7
RM279;26;No;Travel_Frequently;Research & Development;1;3;Life Sciences;3;Female;3;2;Manufacturing Director;2;Divorced;6397;1;No;0;4;1;1;6;6;1;6;5;1;4
RM285;26;No;Travel_Frequently;Research & Development;11;2;Medical;1;Male;3;2;Healthcare Representative;1;Married;4741;1;Yes;0;3;3;1;5;3;3;5;3;3;3
RM289;26;Yes;Travel_Rarely;Research & Development;16;4;Medical;1;Male;3;1;Laboratory Technician;2;Divorced;2373;2;Yes;0;3;4;1;5;2;3;3;2;0;2
RM294;26;Yes;Travel_Rarely;Sales;4;4;Marketing;4;Male;2;2;Sales Executive;4;Single;5828;1;Yes;0;3;2;0;8;0;3;8;7;7;4
RM356;26;No;Travel_Rarely;Sales;1;3;Life Sciences;3;Male;3;2;Sales Executive;3;Married;5296;1;No;0;3;2;1;8;3;3;8;7;7;7
RM383;26;Yes;Travel_Frequently;Research & Development;3;1;Technical Degree;3;Male;3;1;Research Scientist;1;Single;3102;0;No;0;4;3;0;7;2;3;6;4;0;4
RM419;26;No;Travel_Rarely;Research & Development;23;3;Life Sciences;1;Female;3;1;Research Scientist;4;Divorced;2886;1;No;0;4;2;2;3;3;1;3;2;0;2
RM454;26;Yes;Travel_Frequently;Human Resources;17;4;Life Sciences;2;Female;3;1;Human Resources;3;Divorced;2741;0;Yes;0;3;2;1;8;2;2;7;7;1;0
RM461;26;No;Travel_Rarely;Sales;29;2;Medical;1;Male;3;2;Sales Executive;3;Divorced;4306;5;No;0;3;1;2;8;5;3;0;0;0;0
RM464;26;Yes;Travel_Rarely;Research & Development;24;3;Technical Degree;3;Male;1;1;Laboratory Technician;4;Single;2340;1;Yes;0;3;2;0;1;3;1;1;0;0;0
RM476;26;No;Travel_Rarely;Sales;28;2;Marketing;1;Male;3;2;Sales Executive;2;Married;6272;1;No;0;4;4;2;6;5;4;5;3;1;4
RM506;26;No;Travel_Rarely;Research & Development;6;3;Life Sciences;3;Female;3;1;Laboratory Technician;4;Married;2659;1;Yes;0;3;3;1;3;2;3;3;2;0;2
RM572;26;No;Travel_Frequently;Research & Development;1;2;Life Sciences;1;Female;1;1;Laboratory Technician;4;Divorced;4364;3;No;0;3;1;1;5;2;3;2;2;2;0
RM574;26;Yes;Travel_Rarely;Sales;8;3;Technical Degree;4;Male;2;2;Sales Executive;1;Single;5326;6;No;0;3;3;0;6;2;2;4;3;1;2
RM615;26;Yes;Travel_Frequently;Research & Development;5;2;Medical;3;Female;2;1;Research Scientist;3;Married;2366;1;Yes;0;3;1;1;8;2;3;8;7;1;7
RM686;26;No;Travel_Frequently;Sales;1;3;Medical;3;Male;2;2;Sales Executive;1;Single;4294;1;No;0;3;2;0;7;2;3;7;7;0;7
RM734;26;No;Travel_Rarely;Research & Development;2;2;Medical;4;Male;4;2;Manufacturing Director;4;Married;5472;1;No;0;3;2;0;8;2;3;8;7;1;3
RM749;26;Yes;Non-Travel;Sales;29;2;Medical;2;Male;1;2;Sales Executive;1;Single;4969;8;No;0;3;4;0;7;6;3;2;2;2;2
RM763;26;Yes;Travel_Frequently;Research & Development;2;3;Life Sciences;1;Male;3;1;Research Scientist;1;Married;2042;6;Yes;0;3;2;1;6;2;3;3;2;1;2
RM770;26;No;Travel_Frequently;Research & Development;1;1;Medical;1;Female;2;1;Research Scientist;3;Divorced;2007;1;No;0;3;3;2;5;5;3;5;3;1;3
RM782;26;No;Travel_Rarely;Research & Development;1;2;Medical;1;Male;2;1;Laboratory Technician;1;Married;3955;1;No;0;3;1;2;6;2;3;5;3;1;3
RM798;26;Yes;Travel_Rarely;Research & Development;21;3;Medical;1;Male;3;1;Laboratory Technician;3;Divorced;2377;1;No;0;4;3;1;1;0;2;1;1;0;0
RM844;26;No;Travel_Rarely;Research & Development;3;4;Medical;1;Male;4;1;Laboratory Technician;4;Married;4420;1;No;0;4;2;1;8;2;3;8;7;0;7
RM913;26;No;Travel_Rarely;Research & Development;4;2;Life Sciences;3;Male;3;1;Research Scientist;4;Single;2875;1;Yes;0;4;2;0;8;2;2;8;5;2;2
RM999;26;No;Travel_Rarely;Research & Development;2;1;Medical;1;Male;2;1;Research Scientist;4;Single;3904;0;No;0;3;4;0;5;2;3;4;3;1;1
RM1005;26;No;Travel_Rarely;Research & Development;7;3;Other;3;Male;4;1;Laboratory Technician;1;Single;3578;0;No;0;3;4;0;8;2;3;7;7;0;7
RM1119;26;No;Travel_Rarely;Research & Development;3;3;Life Sciences;1;Female;3;1;Research Scientist;4;Married;2061;1;No;0;4;1;0;1;5;3;1;0;0;0
RM1207;26;No;Non-Travel;Research & Development;7;3;Medical;4;Male;3;1;Laboratory Technician;4;Single;2570;1;No;0;4;3;0;7;5;3;7;7;5;7
RM1225;26;No;Travel_Rarely;Research & Development;17;4;Medical;4;Male;1;1;Laboratory Technician;3;Married;2305;1;No;0;3;3;3;3;3;4;3;2;0;2
RM1298;26;Yes;Travel_Rarely;Human Resources;20;2;Medical;4;Female;3;1;Human Resources;2;Married;2148;0;Yes;0;3;3;0;6;3;3;5;1;1;4
RM1310;26;No;Travel_Rarely;Sales;10;3;Medical;3;Male;3;2;Sales Executive;4;Single;4684;1;No;0;3;1;0;5;4;3;5;3;1;2
